date,site,quadrat #,regular shoot #,shoot 1 length,shoot 1 sheath length,shoot 1 width (cm),shoot 1 # blades,,,,,,,,,,,,,,,,,macroalgae species 1,macroalgae 1 wet weight (g),macroalgae 1 foil (g),macroalgae 1 dry (g),macroalgae species 2,macroalgae 2 wet weight (g),macroalgae 2 foil (g),macroalgae 2 dry (g),macroalgae species 3,macroalgae 3 wet weight (g),macroalgae 3 foil (g),macroalgae 3 dry (g),macroalgae species 4,macroalgae 4 wet weight (g),macroalgae 4 foil (g),macroalgae 4 dry (g),notes
05-Jul-17,pruth pocket,1,21,44,11.6,0.4,5,,,,,,,,,,,,,,,,,punctaria,1.4,0.72,0.76,ulva,1.65,0.69,0.79,gracilaria,2.28,0.94,1.074,NA,NA,NA,NA,
05-Jul-17,pruth pocket,2,15,47.2,9.4,0.4,4,,,,,,,,,,,,,,,,,punctaria,5.56,1.12,1.82,gracilaria,1.18,0.94,0.94,fucus,1.94,0.97,1.26,trace ulva,NA,NA,NA,
05-Jul-17,pruth pocket,3,22,38.7,7.7,0.35,6,,,,,,,,,,,,,,,,,gracilaria,2.59,0.87,1.13,trace ulva,NA,NA,NA,trace punctaria,NA,NA,NA,NA,NA,NA,NA,
05-Jul-17,pruth pocket,4,19,50.1,12.3,0.3,4,,,,,,,,,,,,,,,,,gracilaria,3.69,0.89,1.15,punctaria,3.13,0.86,1.19,ulva,4.32,0.99,1.52,NA,NA,NA,NA,
05-Jul-17,pruth pocket,5,15,41.9,9.9,0.25,5,,,,,,,,,,,,,,,,,punctaria,11.65,0.9,2.93,gracilaria,1.59,0.92,0.99,ulva,2.29,0.99,1.11,NA,NA,NA,NA,
05-Jul-17,pruth pocket,6,22,39.8,9.9,0.4,5,,,,,,,,,,,,,,,,,punctaria,2.14,1,1.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
05-Jul-17,pruth pocket,7,38,59.4,12.1,0.6,5,,,,,,,,,,,,,,,,,punctaria,6.35,0.77,1.77,gracilaria,6.01,0.99,1.66,ulva,4.05,0.65,0.99,NA,NA,NA,NA,
05-Jul-17,pruth pocket,8,23,69.9,14.4,0.6,5,,,,,,,,,,,,,,,,,punctaria,11.89,1.01,2.85,gracilaria,8.12,1.02,1.74,ulva,4.07,0.85,1.22,NA,NA,NA,NA,
05-Jul-17,pruth pocket,9,22,35.6,6.1,0.4,4,,,,,,,,,,,,,,,,,gracilaria,1.26,0.93,0.96,punctaria,3.46,0.76,1.1,NA,NA,NA,NA,NA,NA,NA,NA,
04-Jul-17,inner choked i5,1,4,135,39.6,0.8,4,,,,,,,,,,,,,,,,,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,epiphyte = Smithora
