Name,eelgrass_lai,nitraterange,tempmean,temprange,curveloc,nitratemean,salinityrange,salinitymean,dissoxmean,dissoxrange
cabbage1,0.317696,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539
cabbage2,0.2424896,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539
cabbage3,0.59960832,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539
cabbage4,0.86534208,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539
cabbage5,0.55632,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539
cabbage6,0.208352,17.71635246,8.195086479,1.193801522,0.068396762,13.79762745,0.166500092,33.91540909,34.11279678,53.23852539
dodger1,0.36478208,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293
dodger2,0.59785344,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293
dodger3,0.39722496,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293
dodger4,0.234912,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293
dodger5,0.76302336,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293
dodger6,0.0893536,13.31922245,8.359211922,3.119226933,0.106521644,22.08081245,0.867595673,33.38545227,107.6259079,113.3966293
ducking1,0.3051568,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223
ducking2,0.351072,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223
ducking3,0.441136,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223
ducking4,0.2497824,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223
ducking5,0.7151616,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223
ducking6,0.6690816,11.08831596,10.04784966,5.277382374,0.141507566,3.942144871,0.612455368,32.2641716,284.8128967,83.81941223
elbow1,0.4763808,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196
elbow2,0.437,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196
elbow3,0.520128,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196
elbow4,0.1880384,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196
elbow5,0.388704,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196
elbow6,0.5873088,15.62077522,9.258852959,3.375228167,0.134386644,9.108708382,0.641300201,32.37985611,246.5578766,125.9519196
gallagher1,0.4927104,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862
gallagher2,0.348696,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862
gallagher3,0.2616,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862
gallagher4,0.0965376,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862
gallagher5,0.4426368,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862
gallagher6,0.27089216,21.14804459,8.662469864,1.674439192,0.048129924,18.13443947,0.847698212,32.9248085,44.93870544,82.36695862
hl1,0.551376,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977
hl2,1.076544,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977
hl3,0.5063904,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977
hl4,0.5092928,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977
hl5,2.2858848,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977
hl6,1.40670976,7.15207243,9.840473175,9.455962181,0.184764266,2.832896471,0.679958344,31.98823166,288.9148254,59.47875977
indian1,0.010398191,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891
indian2,0.009026458,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891
indian3,0.025774554,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891
indian4,0.10540625,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891
indian5,0.027158482,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891
indian6,0.008059091,16.61170006,8.55355072,2.753591299,0.130725473,18.93852043,0.892173767,32.84745407,164.0753784,147.6962891
james1,0.0894304,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691
james2,0.7374304,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691
james3,0.938752,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691
james4,0.23724,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691
james5,0.506736,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691
james6,0.7710336,20.36335373,8.363874435,1.265111089,0.051454458,15.379282,0.588989258,33.62670135,35.26888275,62.42714691
lyall1,0.6952352,18.03660965,8.986545563,1.766160965,0.04994503,17.85309792,0.847560883,32.92494583,59.65265656,138.9022064
