,Orchomenella.recondita,Nebalia.gerkinae,Littorina.sp,Harpacticoid3,Idotea.montereyensis,Lirularia.parcipincta,Exogone.sp,Jassa.marmorata,Unknown.hyalid.gammarid,Dorvillea.longicornis,Unknown.oenonid.polychaete,Pugettia.producta,Nereis.sp,Aoroides.columbiae,Photis.brevipes,Hippolyte.californiensis,Ceradocus.spinicauda,Euspira.lewisii,Mytilus.sp,Ischyocerus.anguipes,Caprella.californica,Ampithoe.lacertosa,Pontogeneia.rostrata,Unknown.opheliid.polychaete,Caprella.laeviuscula,Unknown.Ischyoceridae.gammarid,Porcellidium.sp,Leptochelia.sp,Cumella.vulgaris,Munna.sp,Amphissa.columbiana,Ampithoe.valida,Idotea.resecata,Monocorophium.insidiosum,Saxidomus.giganteaus,Alvania.compacta,Margarites.pupillus,Harpacticoid1,Clinocardium.nuttallii,Lacuna.sp,Alia.carinata,Anoplodactylus.viridintestinalis,Harpacticoid2,Grandidierella.japonica,Ampithoe.dalli,Pugettia.richii,Neoamphitrite.robusta,Caprella.natalensis,Harmothoe.imbricata,Unknown.isaeidae.gammarid,Lepidonotus.squamatus,Crepidula.sp,Lottia.sp,Glycerinde.armigera,Spirorbis.sp
HL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878378,0,0,0,0.00027027,0,0,0,0,0.000202703,0,0,0,0,0.000405405,0,0.000540541,0.010675676,0,0.005675676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012666667,0,0.004,0,0.006,0,0,0,0.000666667,0.171333333,0,0,0,0.007333333,0.005333333,0.089333333,0.001333333,0.006,0,0.226666667,0,0,0,0.003333333,0.165333333,0,0.025333333,0,0,0,0,0,0,0,0,0,0
RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.074168798,0,0.112531969,0,0.017902813,0,0,0,0.143222506,0.501278772,0,0,0,0,0,0,0,0.16112532,0.012787724,0.148337596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.080827068,0,0,0,0,0,0,0,0,0.212406015,0,0,0,0.110902256,0.001879699,0.20112782,0.022556391,0.148496241,0,0.954887218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DK,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222222222,0,0.662222222,0,0.084444444,0,0,0,0.066666667,0.475555556,0,0,0,0.031111111,0.195555556,0.106666667,0,0.155555556,0,0.448888889,0,0,0,0.008888889,1,0,0.16,0,0,0,0,0,0,0,0,0,0
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08988764,0,0.105617978,0,0.011235955,0,0,0,0,1,0,0,0,0.002247191,0,0.006741573,0.047191011,0.031460674,0,0.080898876,0,0,0,0,0.008988764,0,0.008988764,0,0,0,0,0,0,0,0,0,0
RA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005181347,0,0.155440415,0,0.010362694,0,0,0,0.287564767,0.116580311,0,0,0,0,0,0,0,0.005181347,0.015544041,0.222797927,0,0,0,0,0.155440415,0,0,0,0,0,0,0,0,0,0,0,0
GB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02173913,0,0.002557545,0,0.10741688,0,0,0,0.014066496,0.297953964,0,0,0,0.001278772,0,0.145780051,0,0.190537084,0,0.459079284,0,0,0,0.001278772,0.056265985,0,0,0,0,0,0,0,0,0,0,0,0
EB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01017524,0,0.097795365,0,0.091011871,0,0,0,0.005652911,1,0,0,0,0,0.010740531,0.297908423,0.001130582,0.20124364,0,0.197286603,0,0,0,0.002826456,0.097795365,0,0.006218202,0,0,0,0,0,0,0,0,0,0
JB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240677966,0,0.000847458,0,0.009322034,0,0,0,0.01440678,0.127118644,0,0,0,0.016101695,0.005084746,0.043220339,0.018644068,0.633050847,0,0.228813559,0,0,0,0.002542373,0.125423729,0,0,0,0,0,0,0,0,0,0,0,0
LH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135815991,0,0,0,0.002190581,0,0,0,0.017524644,0.009857612,0,0,0,0.004381161,0.00109529,0,0.026286966,0.120481928,0,0.272727273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.855123675,0,0.395759717,0,0.021201413,0,0,0,0.09540636,1,0,0,0,0.056537102,0.053003534,0.084805654,0.017667845,0.021201413,0.003533569,0.088339223,0,0,0,0.007067138,0,0,0.102473498,0,0,0,0,0,0,0,0,0,0
SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.095541401,0,0.022292994,0,0,0,0,0,0.031847134,0.025477707,0,0,0,0,0.079617834,0,0.003184713,0.01910828,0,0.133757962,0,0,0,0,0,0,0.006369427,0,0,0,0,0,0,0,0,0,0
