"","Alia.carinata","Alvania.compacta","Amphissa.columbiana","Ampithoe.dalli","Ampithoe.lacertosa","Ampithoe.valida","Anoplodactylus.viridintestinalis","Aoroides.columbiae","Caprella.californica","Caprella.laeviuscula","Caprella.natalensis","Ceradocus.spinicauda","Harpacticoid2","Clinocardium.ciliatum","Harpacticoid1","Harpacticoid3","Crepidula.sp","Cumella.vulgaris","Dorvillea.longicornis","Euspira.lewisii","Exogone.sp","Glycerinde.armigera","Grandidierella.japonica","Harmothoe.imbricata","Hippolyte.californiensis","Idotea.montereyensis","Idotea.resecata","Ischyocerus.anguipes","Jassa.marmorata","Lacuna.sp","Lepidonotus.squamatus","Leptochelia.sp","Lirularia.parcipincta","Littorina.sp","Lottia.sp","Margarites.pupillus","Monocorophium.insidiosum","Munna.sp","Mytilus.sp","Nebalia.gerkinae","Neoamphitrite.robusta","Nereis.sp","Orchomenella.recondita","Pagurus.sp","Photis.brevipes","Phyllaplysia.taylori","Pontogeneia.rostrata","Porcellidium.sp","Pugettia.producta","Pugettia.richii","Saxidomus.giganteaus","Spirorbis.sp","Unknown.hyalid.gammarid","Unknown.isaeidae.gammarid","Unknown.Ischyoceridae.gammarid","Unknown.oenonid.polychaete","Unknown.opheliid.polychaete","Unknown.pygnoconid","Unknown.clam1","Unknown.clam2"
"DC",10,14,3,4,7,1,0,10,47,243,0,0,4,6,36,0,0,15,5,0,1,0,0,0,0,0,0,0,1,319,0,445,8,0,0,0,3,4,40,0,1,11,0,0,46,0,5,0,0,2,21,12,2,0,2,9,6,0,0,0
"RB",33,63,0,0,3,0,0,110,44,166,171,0,0,6,58,0,9,1,0,0,0,0,0,1,0,0,0,0,0,25,7,196,3,0,0,5,0,9,29,0,4,119,0,0,11,56,7,56,0,6,0,391,0,2,1,0,1,0,0,0
"SA",5,6,1,29,0,16,2,73,112,1,9,0,0,11,25,0,0,0,0,0,0,0,0,0,0,0,15,0,0,20,0,283,0,0,0,1,24,0,242,0,0,145,0,1,1,48,6,27,0,0,5,0,0,0,0,0,1,0,0,4
"DK",0,35,14,36,4,7,2,2,149,11,0,0,225,8,101,0,0,2,0,4,0,0,3,0,0,3,44,2,0,116,0,107,0,0,0,0,24,1,50,0,0,18,0,1,26,0,19,15,3,1,0,0,0,0,0,0,0,0,0,0
"EB",0,356,27,11,15,0,5,0,173,0,0,1,173,5,349,12,0,6,0,76,0,0,0,0,3,68,19,0,0,176,0,1769,69,0,0,0,527,7,18,0,0,51,0,5,123,0,161,10,3,0,2,0,0,0,2,0,0,0,0,0
"IN",0,9,1,38,0,11,5,0,6,0,0,0,248,27,340,0,0,3,0,6,0,2,1,0,0,0,8,0,0,148,0,257,0,0,4,0,134,0,19,0,0,16,0,0,0,0,9,1,0,0,2,1500,0,0,0,0,0,0,0,0
"CB",1,79,5,0,0,59,0,14,0,525,0,1,0,21,508,0,0,18,0,0,0,0,0,0,0,0,1,0,0,532,0,113,0,0,3,0,107,1,43,0,0,19,0,1,0,0,0,0,0,0,12,49,0,0,0,0,0,0,0,0
"GB",0,149,0,0,2,1,1,328,2,62,0,0,44,3,359,2,0,2,0,59,0,0,0,0,8,10,0,0,0,782,0,233,20,1,2,0,114,0,17,0,0,512,0,1,3,0,84,11,3,0,0,0,0,0,0,0,0,0,0,0
"JB",9,747,3,0,0,19,3,1180,1,172,0,0,148,28,270,1,0,1,0,0,0,0,0,0,14,0,6,0,0,245,0,150,48,5,24,0,51,10,284,51,0,92,0,0,0,0,11,17,0,0,22,0,0,0,0,0,0,0,11,0
"LH",5,110,21,0,0,4,0,327,0,128,0,0,0,12,249,0,0,0,0,0,0,0,0,0,8,0,1,0,0,213,0,9,12,5,12,0,0,1,124,1,0,913,0,0,3,0,2,16,0,0,24,36,0,0,0,0,0,1,2,0
"SS",0,6,0,2,0,0,0,73,7,37,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,25,0,0,45,0,8,0,0,0,0,0,0,30,0,0,314,9,0,0,0,0,10,0,0,1,0,0,0,0,0,0,0,0,0
"HL",0,158,5,0,0,0,0,21,0,1,0,0,0,0,84,0,0,0,0,0,0,0,0,0,1,0,6,0,0,290,0,3,1,0,16,0,0,0,13,0,0,10,0,0,0,0,4,0,0,0,8,14800,0,0,0,0,0,0,0,0
"RA",0,2,0,0,0,0,0,70,60,206,0,0,60,2,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,45,2,0,2,6,0,0,2,0,0,386,0,0,5,0,4,111,0,0,0,37,0,0,1,0,0,0,0,0
