site,Actiniidae,Alia carinata,Alvania compacta,Amphissa,Amphiuridae,Ampithoe lacertosa,Ampithoe sectimanus,Ampithoidae,Unknown.Aoridae,Aoroides.spp,Axiothella,Caprella,Caprella californica,Caprella laeviuscula,Caprella mutica,Cerithiidae,Chrysopetalidae,Corophiidae,Cumacea,Eulalia,Eusiroidea,Exogone,Foraminifera,Gammaridea,Gammaropsis,Gammaropsis thomsoni,Gastropoda,Gymnolaemata,Halacaridae,Haliclystidae,Harpacticoida,Hemipodia,Hesionidae,Heterophoxus,Hyalidae,Idotea,Idotea resecata,Isaeidae,Ischyroceridae,Ischyrocerus,Ischyrocerus anguipes,Lacuna,Leptochelia,Lirularia,Littorinimorpha,Lottidae,Lumbrineridae,Micronereis,Monocorophium acherusicum,Munnidae,Mytilidae,Nematoda,Neogastropoda,Nereididae,Nudibranchia,Ostracoda,Pagurus,Photis brevipes,Phyllodoce,Phyllodocida,Phyllodocidae,Platynereis,Pleocyemata,Podarkeopsis glabrus,Polychaeta,Pontogeneia,Pontogeneia inermis,Porcellidium,Protohyale,Pugettia richii,Rissoidae,Sessilia,Stalked thing,Stenothoidae,Sthenelais,Syllidae,Terebellidae,Thorlaksonius,Thorlaksonius subcarinatus,Urothoidae,Veneroida,nitraterange,tempmean,temprange,curveloc,nitratemean,salinityrange,salinitymean,ph,dissoxmean,dissoxrange
innerchoked1,0,0,0,4,0,0,0,15,5,7,0,3,12,2,1,0,0,0,0,2,0,0,2,202,0,0,0,1,0,0,72,0,0,0,2,6,23,2,205,0,53,111,0,0,0,0,0,2,,1,2,0,0,4,0,1,0,5,1,0,0,6,0,0,0,0,32,35,0,0,0,5,0,0,0,0,0,4,0,0,3,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
innerchoked2,0,0,0,0,0,2,0,5,0,2,1,41,6,2,0,0,0,0,0,1,1,1,0,90,0,0,0,0,0,0,214,0,0,0,0,8,7,0,38,13,30,102,0,0,0,0,1,5,,1,6,9,0,0,0,3,0,2,0,0,0,3,1,0,1,0,12,97,0,0,0,2,0,0,0,0,0,1,0,0,1,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
innerchoked3,0,0,0,0,0,0,0,5,1,9,0,28,32,0,5,0,0,0,0,1,2,0,0,64,0,0,0,0,0,0,45,0,0,0,1,11,43,2,36,0,27,54,0,8,0,0,1,2,,1,3,1,0,0,0,1,0,6,0,0,0,3,0,1,0,0,8,33,1,0,0,1,0,0,0,0,0,1,0,0,5,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
innerchoked4,0,0,0,4,0,0,0,1,71,33,0,5,8,2,1,0,0,0,0,0,0,0,0,219,1,0,0,1,0,1,7,0,0,0,0,26,0,18,285,0,10,69,0,0,0,0,1,2,,0,0,1,0,2,0,1,0,10,0,1,0,6,0,0,0,0,32,11,0,0,0,2,0,0,0,0,0,4,0,0,1,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
innerchoked5,0,0,0,1,0,0,0,0,9,4,0,14,24,10,0,0,0,0,0,1,0,0,0,146,0,0,0,0,0,0,36,0,0,0,1,14,4,0,98,0,24,27,0,1,0,0,0,1,,1,4,0,0,0,1,0,0,4,0,0,0,4,0,0,0,0,6,41,0,0,0,1,0,0,0,0,3,2,0,0,0,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
innerchoked6,1,0,0,2,1,0,0,49,9,3,0,27,3,0,0,0,0,0,0,1,0,0,3,159,2,0,0,0,0,1,11,0,0,0,1,24,0,60,11,0,0,15,0,1,0,0,4,1,,0,4,1,0,0,0,6,0,6,0,0,1,5,0,0,0,0,15,25,0,1,0,16,0,2,0,1,1,1,0,0,0,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
sandspit1,0,0,0,2,0,0,0,9,67,0,0,1,0,0,0,1,0,0,0,0,1,0,2,250,0,0,0,0,0,0,49,0,0,0,0,5,0,23,0,0,0,31,119,4,1,0,0,0,,1,18,14,0,5,0,19,0,11,0,4,1,0,0,0,0,0,0,164,0,3,0,0,0,0,0,0,0,0,0,0,0,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
sandspit2,2,0,0,0,0,0,0,2,12,0,0,0,0,0,0,0,0,6,0,0,1,0,0,72,0,0,0,0,0,0,37,0,0,0,1,2,0,12,0,0,0,16,7,1,0,0,0,0,,1,19,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,118,0,0,0,0,0,0,0,0,0,0,0,0,0,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
sandspit3,2,0,0,0,0,0,0,12,82,0,0,5,0,0,0,2,0,7,0,0,12,0,1,694,0,0,0,0,0,0,135,0,0,0,0,1,0,86,0,0,0,25,202,0,0,0,8,0,,6,17,48,0,10,0,25,0,0,0,5,3,1,0,0,0,0,0,321,0,0,0,0,0,0,0,1,0,0,0,0,0,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
sandspit4,1,0,0,0,0,0,1,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,1,213,0,0,2,0,0,0,111,0,0,0,0,2,0,1,12,0,46,11,14,0,0,0,0,0,,1,8,3,0,1,2,0,0,3,0,0,0,0,0,0,0,3,1,155,0,0,0,0,0,0,0,0,0,0,0,0,1,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
sandspit5,0,0,0,0,0,0,0,17,20,0,0,6,0,0,0,0,0,11,0,0,9,0,0,278,0,0,0,0,0,0,63,0,0,0,0,1,0,33,0,0,0,26,4,0,0,0,1,0,,0,18,4,0,2,0,2,0,0,0,1,0,0,0,0,0,0,0,111,0,1,0,0,0,0,0,0,0,0,0,0,0,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
sandspit6,8,0,0,1,0,0,1,3,5,3,0,1,0,0,0,0,0,0,0,0,3,1,1,185,0,0,0,0,0,0,33,2,0,0,1,0,1,12,8,35,36,17,42,1,0,0,5,0,,1,0,8,0,2,0,4,0,38,0,0,0,8,0,0,1,1,4,75,0,0,0,0,0,0,0,0,0,0,0,0,0,13.69498444,7.56965971,1.40178287,0.04567425,24.25076866,1.048229218,33.41476822,8.145000458,121.7068024,115.3081894
triquetn1,0,0,0,4,0,0,0,0,0,0,2,5,4,6,0,1,0,0,0,0,0,0,37,24,0,0,0,0,0,0,30,0,2,0,0,0,0,1,5,0,0,7,25,1,0,0,3,0,,3,0,4,0,0,1,1,0,3,0,2,1,3,0,0,0,0,0,39,0,0,0,3,0,0,0,0,0,0,0,0,2,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,8.145000458,103.7878418,61.15460968
triquetn2,1,0,0,9,0,0,0,0,0,0,1,6,3,0,0,1,0,0,0,0,0,3,183,14,0,0,0,0,0,0,13,0,0,0,0,0,0,1,1,0,0,7,29,1,0,1,7,1,,5,1,3,0,3,0,1,0,7,0,0,0,10,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,8,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,8.145000458,103.7878418,61.15460968
triquetn3,0,0,0,3,0,0,0,3,6,0,0,28,6,2,0,0,0,0,0,0,4,1,57,64,0,0,0,0,0,0,33,1,2,0,0,0,0,0,3,0,0,28,25,9,0,0,3,0,,29,2,7,0,3,0,1,0,4,0,0,0,5,0,0,0,0,1,16,0,0,0,0,0,0,0,0,0,0,0,0,1,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,8.145000458,103.7878418,61.15460968
triquetn4,0,0,0,1,1,0,0,0,0,0,0,13,4,3,0,5,0,0,0,0,1,0,65,40,0,1,0,0,0,0,27,0,1,0,0,0,0,0,4,0,1,1,32,2,0,0,1,0,,12,1,1,2,7,0,2,0,4,0,0,0,0,0,1,0,0,1,69,0,0,0,0,0,0,0,1,0,0,0,0,0,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,8.145000458,103.7878418,61.15460968
triquetn5,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,3,96,11,0,0,0,0,0,0,16,1,0,0,1,0,0,0,1,0,0,5,53,2,0,0,6,0,,0,0,5,0,4,0,0,0,14,0,0,0,4,0,0,0,0,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,7.178434372,7.307836056,1.27417016,0.036843598,26.05080032,0.780002594,33.61186981,8.145000458,103.7878418,61.15460968
