"","Alia.carinata","Alvania.compacta","Amphissa.columbiana","Crepidula.sp","Euspira.lewisii","Harmothoe.imbricata","Lacuna.sp","Lirularia.parcipincta","Lirularia.sp","Littorina.sp","Margarites.pupillus","Lottia.sp","Clinocardium.nuttallii","Mytilus.sp","Saxidomus.giganteaus","Unknown.clam.1","Unknown.clam.2","Dorvillea.longicornis","Exogone.sp","Glycerinde.armigera","Lepidonotus.squamatus","Neoamphitrite.robusta","Unknown.oenonid.polychaete","Unknown.opheliid.polychaete","Spirorbis.sp","Nereis.sp","Ampithoe.dalli","Ampithoe.lacertosa","Ampithoe.valida","Aoroides.columbiae","Ceradocus.spinicauda","Grandidierella.japonica","Ischyocerus.anguipes","Jassa.marmorata","Monocorophium.insidiosum","Orchomenella.recondita","Photis.brevipes","Pontogeneia.rostrata","Unknown.hyalidae.gammarid","Unknown.isaeidae.gammarid","Unknown.Ischyoceridae.gammarid","Caprella.californica","Caprella.laeviuscula","Caprella.natalensis","Cumella.vulgaris","Leptochelia.sp","Nebalia.gerkinae","Porcellidium.sp","Harpacticoid1","Harpacticoid2","Harpacticoid3","Anoplodactylus.viridintestinalis","Idotea.montereyensis","Idotea.resecata","Munna.sp","Pugettia.producta","Pugettia.richii","Hippolyte.californiensis"
"cabbage",2.7172018990952,44.7122418032527,3.94970613120351,0.0263586193583662,0.0421533533879661,0.0354054696847222,333.962944064367,0.0345456601080712,1.12631018325358,0.399173672960688,0.351556859286144,5.76830777976068,9.07328321241787,55.70121249985,13.4974915956307,0.329785505068355,0.129657063612331,0.0234887755330277,0.0265374908705666,0.043525063142894,0.0298651668290169,0.0546379719593635,0.0524829212974963,0.0568407795203713,27.4561751075975,18.6061376181178,0.216188319277983,0.129176381778897,25.0638298718009,20.5171423732533,0.866917281084706,0.0338957646883932,0.0195069822859618,0.0539699605670565,13.1176815605268,0.308621445216968,0.529036044323539,1.99897841353249,0.0259147143906944,0.0393057068877042,0.101265680384298,0.601543907850883,247.454188600447,0.00536410008528876,6.66161741622759,36.0834834295025,0.297560520931172,0.585699259085797,141.883929729624,0.179923154241543,0.037942870427806,0.103410012247385,0.0274010922024682,2.44178648800618,1.40982304099067,0.16775647004722,0.0464132706557173,1.04791311606646
"dodger",2.0516896131704,4.31182447877522,2.0833155556135,0.56252620100978,1.07237205969074,0.332182644660029,84.7221651925255,0.49124013604849,5.80053673425528,0.12073867297227,0.754457705038399,0.32262814669096,5.78781160103299,9.22945301612668,3.69547060485545,0.093092182232096,0.267154217978494,1.57158489873266,0.883793670875589,0.299318757680923,0.522384330613619,1.08144999136837,2.29010455081308,2.00423022791711,0.0462012783624585,23.2276456089129,2.8457527412474,4.88745128058453,0.580299191302147,6.82878289677281,0.412841290486573,0.420518039067747,0.210474388489652,0.827080501547235,11.3962686895003,0.278014860908108,22.3435272543486,5.19821026616915,1.27151378944847,0.359710647561028,1.49204689741059,14.9250295241234,21.3166868898637,0.994503297480136,8.14806051180347,442.350766150048,0.0706024509636331,0.324457217289484,12.3557420024148,11.8534174642517,0.847825584335723,0.814851273156129,0.495560727622428,1.64820477204485,2.9887584163442,0.449225334094592,2.01353520640182,0.34829740723383
"ducking",1.83508680376299,26.2228254369019,4.39061786301332,0.244272382303086,1.05084043610952,0.279464090117566,96.7720543008677,0.237114140606195,0.782608741840676,0.191727677822434,0.491559887579963,0.868911983534074,0.950857374710219,115.17480098909,3.13657102283379,0.141760913365009,0.549986674488506,0.215972496237099,0.204334334540706,0.592670389657479,0.220290630992292,0.31400513858637,0.352378728912933,0.43049350997794,0.0387326327212347,11.4265454483006,24.1243248343667,2.26018462591242,3.46298274709256,0.361911325687295,0.212228497185486,1.00949644127284,1.36657260018722,0.2837799432454,3.0361484996222,0.121161258774548,17.1190575832204,21.544273389083,0.31501326862294,0.253454767278478,2.03586129731146,301.724232786905,0.350797679871637,0.0541289737059702,3.28891695037027,28.4640046840399,0.136490741086211,18.0310228772554,1.38472614621389,7.27051050976468,0.43980535032389,1.80082858969887,1.2169872211037,38.3854274304526,3.69719210616081,2.96272578701853,0.534866078033895,0.566598845258598
"elbow",5.1524120076677,333.422971105316,20.5158859661157,0.238984582154119,15.6186972731533,0.267466098441052,142.007968329989,8.85496863636353,8.80951356375662,0.348457980477604,0.374260792376892,1.57024590284868,0.968142946085332,28.0945554875006,15.4170286730378,0.410696916116945,0.306813901861471,0.441143381536356,0.345889291738905,0.225619933408152,0.213687824245614,0.446643619708095,0.691350511557609,0.568459155958504,0.0375662179365862,20.7509591959365,4.22969761715882,12.7232192577976,0.704859562124392,0.664864830749252,0.875680816469908,0.334795351003222,0.318041477886589,0.479185403383218,46.9442497648847,0.0352125605936424,23.1176943887741,167.574653016678,0.367904117442619,0.247482684288318,0.71725568643129,74.7157851796114,0.978438051044045,0.085592163900295,6.0011646429653,842.642945929482,0.40707392055304,1.68171294897615,4.50914441036011,10.8619311897691,4.01965887071991,2.00203098185621,25.4635568252753,1.31177055237437,6.01967124564391,2.3282214810116,0.690500749203003,3.71458186671192
"gallagher",0.898331046542577,6.94488303407073,1.8164668594758,0.0161704303512206,0.0289586193462046,0.0190234573080841,567.437629101505,0.0308764585936066,2.75422461135067,1.32082681734376,0.0729918963018059,4.83441476075279,2.22083730006231,32.5280424625331,4.50202083567376,0.833221597374884,0.0428358819363194,0.0156359033239525,0.018008159770282,0.0256715594618036,0.0204407286120474,0.0266861550151893,0.0395450252895843,0.0220527456999812,0.0284386301771884,269.533688111182,0.103836015989176,0.0788970717114733,2.39292928602288,167.268771107221,0.152881420786176,0.0255206883940671,0.0204330915900368,0.0289405126679806,0.192294370595684,0.160999938256104,0.543103922226569,7.48963573999245,0.0338697511066969,0.0200851635385503,0.0497605382808912,0.315856387505599,61.1257053134685,0.0110168746371317,0.472833854053358,1.93999221182816,1.10453907038309,10.169783162338,26.124093138884,0.0651158746319633,0.0203952203782407,0.0327986431306248,0.0435799903150395,1.52912371234834,1.20773120595586,1.710745459822,0.0445579723206734,6.20872076193854
"hl",0.0979491643971022,30.7790549698158,3.15071496317821,0.0112441239692602,0.140527056116962,0.0106866590523885,105.76332118843,0.0513755764028376,3.52769931911872,0.170407204130914,0.151565336612247,6.71793984503401,0.958299984448906,4.22092394857445,1.03616185067255,0.209881690013877,0.00772241133178251,0.0077429193179403,0.00948135650748331,0.0170870517720436,0.0103481994214013,0.017859692990417,0.023737885346559,0.00532864293803937,0.0144515459383969,8.99488835782405,0.0538170947516711,0.235972862363226,0.0662116189130866,30.1833735160068,0.0649380006507593,0.0605889080785144,0.0172836186923491,0.0244156155687966,0.179893774583567,0.150314438267222,0.708814135081575,1.40683666222739,0.014512866426721,0.0103640734184796,0.18653876677255,0.741650321212768,7.36814385649802,0.0222064366392139,0.0791280762994426,9.38535474084208,0.295763701855938,3.36999626427344,13.6240644059046,5.31286092310782,0.0513673498958913,0.0760120540943276,0.0816374802500628,3.5289036517631,0.497547413482895,0.140970642734565,0.0176620144903275,1.60747615238264
"indian",3.33671839857802,15.4639943400464,3.80069388280866,0.338560792468472,0.766732609267065,0.327186900904922,86.1748215080826,0.245139741107737,0.806468601994871,0.126419078118606,0.624089518228868,0.751204305006166,2.99738378416302,88.4175311653148,5.35723422898063,0.136490983625053,0.746997356594866,0.337650659592099,0.300732636276323,0.681580976033475,0.318114755222321,0.550453657166831,0.75316452998867,0.785628291617942,26602.2261959504,4.35528381720453,14.1578817350221,1.50664746233817,4.83173891872101,0.745608721946445,0.296116161626267,0.8157198933691,0.415061680811801,0.35715110330858,4.73533516236716,0.182089850627407,6.72607107282884,4.74520249571861,0.53028389170914,0.327245402577346,0.877380584303291,47.3390709446764,1.47421639047387,0.145673974965244,3.14218249237071,97.1225456627412,0.123761847495173,0.718874399986833,0.914735450974771,8.16194695495872,0.472177871324775,1.78107218957646,0.506803431878793,12.6887760696452,2.44603461353028,0.670158920925609,0.954055788043746,0.380551888200091
"james",5.75178870378587,288.716509691778,14.0836940747886,0.00886281787626502,0.173372409586364,0.0191214189005732,551.610122432489,0.148363788617729,4.43319580622132,4.1841658663947,0.0712983173634802,31.6463466993139,7.00307768453922,188.484299049851,48.2525673599995,4.00182184621368,0.100994130172894,0.011577581650885,0.0168651322930874,0.0440198008695899,0.0123475203501317,0.0256216440505808,0.0330122604481994,0.0164557124423007,0.0241729628967189,30.0170105301495,0.168194790532108,0.0830480988224925,46.9686606967703,21.5592240038681,0.713803326064018,0.0460377976715643,0.0175259837795536,0.0432620187544353,4.03241492221497,0.159020515596552,0.489496473047278,12.6025523066797,0.0115425482859945,0.020228889808828,0.0376214564004423,0.0776387596849262,16.5641558918108,0.00101872246179026,1.1088308023488,10.0745575079312,5.21213380345686,9.62941353821705,83.595872649405,0.0588256391216993,0.0859437210491829,0.159812634762383,0.106166007090542,9.37392413432225,3.69081138453129,0.514105748446607,0.0142552689691633,15.5183139884387
"lyall",2.42440950760549,18.9505834360235,3.05789205099748,0.0358864659917622,0.0167379254142144,0.0273305800193593,146.305542750693,0.0151803852788254,2.14029399844423,0.594065481904438,0.0674206814591617,5.97863395945951,5.27989615775728,43.1818131425314,14.0067786968906,0.532462298318925,0.0562112222330786,0.0165352307686608,0.0191644595680979,0.0235957393439461,0.045191148641209,0.0555498108708037,0.0548994183211676,0.03665593404228,39.1671590534404,659.187352361099,0.0737716212626723,0.0416662171282631,2.33557768022869,171.606774922479,0.212476371468086,0.0237855252982255,0.0130049372676387,0.0468154426834369,0.304543058935776,0.860320291496852,2.60036286306408,0.810611303166792,0.0409977225579919,0.0325840851867203,0.0365358164451567,0.21934919214702,111.35553819026,0.0367977266419359,0.663782132956359,11.3648809552661,0.569986222259025,11.045071327534,46.5010590832687,0.0404473724054846,0.0196914560618602,0.0549447620505578,0.0110645295498986,3.34908492459808,1.16973270018661,0.163678669830224,0.0677692778102025,2.1034324100532
"ra",0.0805177541183701,2.83438203126466,1.07031759264434,0.0490123685395526,0.292814981053733,0.0430687337558676,124.223736176818,0.118806065117464,2.47889706684582,0.0443720231556896,4.01223067061569,1.29868172924807,2.51505307375095,1.38576640900036,0.320902350160581,0.0369994153378957,0.0349484253106773,0.096897718872195,0.0754795180402541,0.0809855077825918,0.0421339074574197,0.0826342330604967,0.151351574925425,0.0704875164147095,4.40643516619715,38.7180867960645,0.346056172914954,2.00726043054852,0.292980093091045,11.057114406538,0.25654551818718,0.162821682368247,0.0465631990923167,0.0929569004496978,4.24665041630818,0.167886809295131,0.45403638386619,3.93831327375953,0.111170893442765,0.0390505501074995,1.7604999552403,23.2008657130326,116.442720482481,0.0551063705425933,1.27141960374307,80.9758262830999,0.0306321837274824,50.0802465050251,1052.52702995124,77.9711833006573,0.143515699809825,0.15976362662843,0.147224910133177,0.779426815464549,0.468410894553877,0.183283502528243,0.112992255251786,0.272612584511868
