,Orchomenella.recondita,Nebalia.gerkinae,Littorina.sp,Harpacticoid3,Idotea.montereyensis,Lirularia.parcipincta,Exogone.sp,Jassa.marmorata,Unknown.hyalid.gammarid,Dorvillea.longicornis,Unknown.oenonid.polychaete,Pugettia.producta,Nereis.sp,Aoroides.columbiae,Photis.brevipes,Hippolyte.californiensis,Ceradocus.spinicauda,Euspira.lewisii,Mytilus.sp,Ischyocerus.anguipes,Caprella.californica,Ampithoe.lacertosa,Pontogeneia.rostrata,Unknown.opheliid.polychaete,Caprella.laeviuscula,Unknown.Ischyoceridae.gammarid,Porcellidium.sp,Leptochelia.sp,Cumella.vulgaris,Munna.sp,Amphissa.columbiana,Ampithoe.valida,Idotea.resecata,Monocorophium.insidiosum,Saxidomus.giganteaus,Alvania.compacta,Margarites.pupillus,Harpacticoid1,Clinocardium.nuttallii,Lacuna.sp,Alia.carinata,Anoplodactylus.viridintestinalis,Harpacticoid2,Grandidierella.japonica,Ampithoe.dalli,Pugettia.richii,Neoamphitrite.robusta,Caprella.natalensis,Harmothoe.imbricata,Unknown.isaeidae.gammarid,Lepidonotus.squamatus,Crepidula.sp,Lottia.sp,Glycerinde.armigera,Spirorbis.sp
HL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019594595,0,0,0,0,0,0,0,0,0,0,0,0,0.001081081,0,1
IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0,0,0,0,0,0,0,0,0,0.018,0.098666667,0,0,0,0,0,0,0,0,0,0,0,0,0.002666667,0,1
RB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002557545,0,0,0,0,0,0,0,0,0,0.015345269,0.063938619,0.084398977,0,0,0,0,0.015345269,0,0.437340153,0.002557545,0.00511509,0.017902813,0.023017903,0,0,1
CB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033834586,0,0,0,0,0,0,0,0,0,0.039473684,1,0.001879699,0,0,0,0,0,0,0,0,0,0,0,0.005639098,0,0.092105263
DK,0,0,0,0,0,0,0,0,0,0,0,0.013333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.008888889,0,0,0,0,0,0,0,0,0,0.035555556,0.515555556,0,0,0,0,0,0.004444444,0,0,0,0,0,0,0,0,0
DC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.033707865,0,0,0,0,0,0,0,0,0,0.013483146,0.716853933,0.02247191,0,0,0,0,0.004494382,0,0,0,0,0,0,0,0,0.026966292
RA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.005181347,0.225388601,0,0,0,0,0,0,0,0,0,0,0,0,0.005181347,0,0.095854922
GB,0,0,0,0,0,0,0,0,0,0,0,0.003836317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002557545,0,0,0,0,0,0,0,0,0,0.003836317,1,0,0,0,0,0,0,0,0,0,0,0,0,0.002557545,0,0
EB,0,0,0,0,0,0,0,0,0,0,0,0.001695873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003391747,0,0,0,0,0,0,0,0,0,0.002826456,0.099491238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
JB,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000847458,0,0,0,0,0,0,0,0,0,0.023728814,0.207627119,0.007627119,0,0,0,0,0,0,0,0,0,0,0,0.020338983,0,0
LH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.013143483,0.233296824,0.005476451,0,0,0,0,0,0,0,0,0,0,0,0.013143483,0,0.039430449
SA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.038869258,0.070671378,0.017667845,0,0,0,0,0,0,0.03180212,0,0,0,0,0,0,0
SS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00955414,0.143312102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
