Alia carinata,Alvania compacta,Amphissa columbiana,Crepidula sp,Euspira lewisii,Harmothoe imbricata,Lacuna sp,Lirularia parcipincta,Lirularia sp,Littorina sp,Margarites pupillus,Lottia sp,Clinocardium nuttallii,Mytilus sp,Saxidomus giganteaus,Unknown clam 1,Unknown clam 2,Dorvillea longicornis,Exogone sp,Glycerinde armigera,Lepidonotus squamatus,Neoamphitrite robusta,Unknown oenonid polychaete,Unknown opheliid polychaete,Spirorbis sp,Nereis sp,Ampithoe dalli,Ampithoe lacertosa,Ampithoe valida,Aoroides columbiae,Ceradocus spinicauda,Grandidierella japonica,Ischyocerus anguipes,Jassa marmorata,Monocorophium insidiosum,Orchomenella recondita,Photis brevipes,Pontogeneia rostrata,Unknown hyalidae gammarid,Unknown isaeidae gammarid,Unknown Ischyoceridae gammarid,Caprella californica,Caprella laeviuscula,Caprella natalensis,Cumella vulgaris,Leptochelia sp,Nebalia gerkinae,Porcellidium sp,Harpacticoid1,Harpacticoid2,Harpacticoid3,Anoplodactylus viridintestinalis,Idotea montereyensis,Idotea resecata,Munna sp,Pugettia producta,Pugettia richii,Hippolyte californiensis
0,22,2,0,0,0,96,0,0,0,0,0,5,1,1,0,0,0,0,0,0,0,0,0,0,5,0,0,40,2,0,0,0,0,16,0,0,0,0,0,0,0,67,0,2,2,0,0,90,0,0,0,0,0,1,0,0,0
0,2,0,0,0,0,89,0,0,0,0,1,5,7,7,0,0,0,0,0,0,0,0,0,4,4,0,0,1,2,0,0,0,0,2,0,0,0,0,0,0,0,3,0,2,7,0,0,102,0,0,0,0,0,0,0,0,0
0,32,0,0,0,0,50,0,0,0,0,0,4,4,3,0,0,0,0,0,0,0,0,0,7,1,0,0,2,2,0,0,0,0,60,0,0,0,0,0,0,0,64,0,11,37,0,0,113,0,0,0,0,0,0,0,0,0
0,10,0,0,0,0,23,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,7,1,0,0,0,0,25,0,0,0,0,0,0,0,22,0,3,64,0,0,72,0,0,0,0,0,0,0,0,0
1,1,3,0,0,0,85,0,0,0,0,2,2,1,1,0,0,0,0,0,0,0,0,0,26,2,0,0,8,2,1,0,0,0,4,0,0,0,0,0,0,0,158,0,0,2,0,0,95,0,0,0,0,1,0,0,0,0
0,12,0,0,0,0,189,0,0,0,0,0,5,26,0,0,0,0,0,0,0,0,0,0,12,0,0,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,211,0,0,1,0,0,36,0,0,0,0,0,0,0,0,0
0,1,0,0,0,0,82,0,2,0,0,0,1,7,15,0,0,5,1,0,0,0,0,6,0,2,0,1,0,1,0,0,0,0,0,0,10,0,0,0,0,3,4,0,10,131,0,0,0,0,0,0,0,1,0,0,1,0
2,0,0,0,0,0,18,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,7,0,0,0,1,3,0,3,0,0,0,0,1,0,4,0,0,0,2,9,4,0,3,110,0,0,0,1,0,0,0,0,1,0,0,0
0,1,0,0,0,0,10,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,2,0,1,0,1,0,0,19,13,0,0,53,0,0,0,0,0,0,0,0,1,0,0,0
3,0,1,0,0,0,11,0,5,0,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,3,0,0,0,1,0,0,0,0,0,0,9,3,1,0,0,14,8,0,0,72,0,0,0,3,0,0,0,0,1,0,1,0
