Alia.carinata,Alvania.compacta,Amphissa.columbiana,Ampithoe.dalli,Ampithoe.lacertosa,Ampithoe.valida,Anoplodactylus.viridintestinalis,Aoroides.columbiae,Caprella.californica,Caprella.laeviuscula,Caprella.natalensis,Ceradocus.spinicauda,Harpacticoid2,Clinocardium.ciliatum,Harpacticoid1,Harpacticoid3,Crepidula.sp,Cumella.vulgaris,Dorvillea.longicornis,Euspira.lewisii,Exogone.sp,Glycerinde.armigera,Grandidierella.japonica,Harmothoe.imbricata,Hippolyte.californiensis,Idotea.montereyensis,Idotea.resecata,Ischyocerus.anguipes,Jassa.marmorata,Lacuna.sp,Lepidonotus.squamatus,Leptochelia.sp,Lirularia.parcipincta,Littorina.sp,Lottia.sp,Margarites.pupillus,Monocorophium.insidiosum,Munna.sp,Mytilus.sp,Nebalia.gerkinae,Neoamphitrite.robusta,Nereis.sp,Orchomenella.recondita,Pagurus.sp,Photis.brevipes,Phyllaplysia.taylori,Pontogeneia.rostrata,Porcellidium.sp,Pugettia.producta,Pugettia.richii,Saxidomus.giganteaus,Spirorbis.sp,Unknown.hyalid.gammarid,Unknown.isaeidae.gammarid,Unknown.Ischyoceridae.gammarid,Unknown.oenonid.polychaete,Unknown.opheliid.polychaete,Unknown.pygnoconid,Unknown.clam1,Unknown.clam2
10,14,3,4.000000002,7.000000002,1.000000002,0,10,47,243,0,0,4.000000002,6,36,0,0,15,4.999999998,0,1.000000002,0,0,0,0,0,0,0,1.000000002,319,0,445,7.999999998,0,0,0,3,4.000000002,40,0,1.000000002,11,0,0,46,0,4.999999998,0,0,1.999999998,21,12,1.999999998,0,1.999999998,9,6,0,0,0
33,63,0,0,3,0,0,110,44,166,171,0,0,6,58,0,9,1.000000002,0,0,0,0,0,1.000000002,0,0,0,0,0,25,7.000000002,196,3,0,0,4.999999998,0,9,29,0,4.000000002,119,0,0,11,56,7.000000002,56,0,6,0,391,0,1.999999998,1.000000002,0,1.000000002,0,0,0
4.999999998,6,1.000000002,29,0,16,1.999999998,73.00000002,112,1.000000002,9,0,0,11,25,0,0,0,0,0,0,0,0,0,0,0,15,0,0,20,0,283,0,0,0,1.000000002,24,0,242,0,0,145,0,1.000000002,1.000000002,48,6,27,0,0,4.999999998,0,0,0,0,0,1.000000002,0,0,4.000000002
0,35,14,36,4.000000002,7.000000002,1.999999998,1.999999998,149,11,0,0,225,7.999999998,101,0,0,1.999999998,0,4.000000002,0,0,3,0,0,3,44,1.999999998,0,116,0,107,0,0,0,0,24,1.000000002,50,0,0,18,0,1.000000002,26,0,19,15,3,1.000000002,0,0,0,0,0,0,0,0,0,0
0,356,27,11,15,0,4.999999998,0,173,0,0,1.000000002,173,5,349,12,0,6,0,76.00000002,0,0,0,0,3,67.99999998,19,0,0,176,0,1769,69,0,0,0,527,7.000000002,18,0,0,51,0,5,123,0,161,10,3,0,2,0,0,0,1.999999998,0,0,0,0,0
0,9,1.000000002,38,0,11,4.999999998,0,6,0,0,0,248,27,340,0,0,3,0,6,0,1.999999998,1.000000002,0,0,0,7.999999998,0,0,148,0,257,0,0,4.000000002,0,134,0,19,0,0,16,0,0,0,0,9,1.000000002,0,0,1.999999998,1500,0,0,0,0,0,0,0,0
1.000000002,79.00000002,4.999999998,0,0,59,0,14,0,525,0,1.000000002,0,21,508,0,0,18,0,0,0,0,0,0,0,0,1.000000002,0,0,532,0,113,0,0,3,0,107,1.000000002,43,0,0,19,0,1.000000002,0,0,0,0,0,0,12,49,0,0,0,0,0,0,0,0
0,149,0,0,1.999999998,1.000000002,1.000000002,328,1.999999998,61.99999998,0,0,44,3,359,1.999999998,0,1.999999998,0,59,0,0,0,0,7.999999998,10,0,0,0,781.9999998,0,233,19.98,1.000000002,1.999999998,0,114,0,17,0,0,512,0,1.000000002,3,0,84,11,3,0,0,0,0,0,0,0,0,0,0,0
9,747,3,0,0,19,3,1180,1.000000002,172,0,0,148,28,270,1.000000002,0,1.000000002,0,0,0,0,0,0,14,0,6,0,0,245,0,150,48,4.999999998,24,0,51,10,284,51,0,91.99999998,0,0,0,0,11,17,0,0,22,0,0,0,0,0,0,0,11,0
4.999999998,110,21,0,0,4.000000002,0,327,0,128,0,0,0,12,249,0,0,0,0,0,0,0,0,0,7.999999998,0,1.000000002,0,0,213,0,9,12,4.999999998,12,0,0,1.000000002,124,1.000000002,0,913.0000002,0,0,3,0,1.999999998,16,0,0,24,36,0,0,0,0,0,1.000000002,1.999999998,0
0,6,0,1.999999998,0,0,0,73.00000002,7.000000002,37,0,0,0,3,42,0,0,0,0,0,0,0,0,0,0,0,25,0,0,45,0,7.999999998,0,0,0,0,0,0,30,0,0,314,9,0,0,0,0,10,0,0,1.000000002,0,0,0,0,0,0,0,0,0
0,158,4.999999998,0,0,0,0,21,0,1.000000002,0,0,0,0,84,0,0,0,0,0,0,0,0,0,1.000000002,0,6,0,0,290,0,3,1.000000002,0,16,0,0,0,13,0,0,10,0,0,0,0,4.000000002,0,0,0,7.999999998,14800,0,0,0,0,0,0,0,0
0,1.999999998,0,0,0,0,0,70.00000002,60,206,0,0,60,1.999999998,85.99999998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,45,1.999999998,0,1.999999998,6,0,0,1.999999998,0,0,386,0,0,4.999999998,0,4.000000002,111,0,0,0,37,0,0,1.000000002,0,0,0,0,0
